route_id,origin_iata,destination_iata,month,route_active,weekly_frequency_proxy,route_supply_confidence,route_supply_event_count,route_supply_event_ids,route_supply_carriers,route_supply_evidence_types,route_supply_source_titles,route_supply_source_urls
YKF_YVR,YKF,YVR,2025-09-01,1,7.0,high,1,YKF_YVR_2021_START,Flair,official_airport_release,Waterloo Airport and Flair Airlines Announce Additional Destinations,https://www.regionofwaterloo.ca/Modules/News/index.aspx?newsId=8caed158-c3ef-449b-8b24-4c4dbe5ea81d
YKF_YVR,YKF,YVR,2025-10-01,0,,medium,1,YKF_YVR_2025_END,Flair,current_schedule_support,Direct flights from Kitchener to Vancouver,https://www.directflights.com/YKF-YVR
YKF_YVR,YKF,YVR,2025-11-01,0,,medium,1,YKF_YVR_2025_END,Flair,current_schedule_support,Direct flights from Kitchener to Vancouver,https://www.directflights.com/YKF-YVR
YKF_YVR,YKF,YVR,2025-12-01,0,,medium,1,YKF_YVR_2025_END,Flair,current_schedule_support,Direct flights from Kitchener to Vancouver,https://www.directflights.com/YKF-YVR
YKF_YYC,YKF,YYC,2020-01-01,,,uncovered,0,,,,,
YKF_YYC,YKF,YYC,2020-02-01,,,uncovered,0,,,,,
YKF_YYC,YKF,YYC,2020-03-01,,,uncovered,0,,,,,
YKF_YYC,YKF,YYC,2020-04-01,,,uncovered,0,,,,,
YKF_YYC,YKF,YYC,2020-05-01,,,uncovered,0,,,,,
YKF_YYC,YKF,YYC,2020-06-01,,,uncovered,0,,,,,
YKF_YYC,YKF,YYC,2020-07-01,,,uncovered,0,,,,,
YKF_YYC,YKF,YYC,2020-08-01,,,uncovered,0,,,,,
YKF_YYC,YKF,YYC,2020-09-01,,,uncovered,0,,,,,
YKF_YYC,YKF,YYC,2020-10-01,,,uncovered,0,,,,,
YKF_YYC,YKF,YYC,2020-11-01,,,uncovered,0,,,,,
YKF_YYC,YKF,YYC,2020-12-01,,,uncovered,0,,,,,
YKF_YYC,YKF,YYC,2021-01-01,,,uncovered,0,,,,,
YKF_YYC,YKF,YYC,2021-02-01,,,uncovered,0,,,,,
YKF_YYC,YKF,YYC,2021-03-01,,,uncovered,0,,,,,
YKF_YYC,YKF,YYC,2021-04-01,,,uncovered,0,,,,,
YKF_YYC,YKF,YYC,2021-05-01,1,3.0,high,1,YKF_YYC_2021_START,Flair,official_airport_release,Waterloo Airport and Flair Airlines Announce Additional Destinations,https://www.regionofwaterloo.ca/Modules/News/index.aspx?newsId=8caed158-c3ef-449b-8b24-4c4dbe5ea81d
YKF_YYC,YKF,YYC,2021-06-01,1,3.0,high,1,YKF_YYC_2021_START,Flair,official_airport_release,Waterloo Airport and Flair Airlines Announce Additional Destinations,https://www.regionofwaterloo.ca/Modules/News/index.aspx?newsId=8caed158-c3ef-449b-8b24-4c4dbe5ea81d
YKF_YYC,YKF,YYC,2021-07-01,1,3.0,high,1,YKF_YYC_2021_START,Flair,official_airport_release,Waterloo Airport and Flair Airlines Announce Additional Destinations,https://www.regionofwaterloo.ca/Modules/News/index.aspx?newsId=8caed158-c3ef-449b-8b24-4c4dbe5ea81d
YKF_YYC,YKF,YYC,2021-08-01,1,3.0,high,1,YKF_YYC_2021_START,Flair,official_airport_release,Waterloo Airport and Flair Airlines Announce Additional Destinations,https://www.regionofwaterloo.ca/Modules/News/index.aspx?newsId=8caed158-c3ef-449b-8b24-4c4dbe5ea81d
