iata,month,statcan_geo,metric,value,source_table
YHZ,2022-07-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,167057,23100312
YHZ,2022-08-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,194795,23100312
YHZ,2022-09-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,159378,23100312
YHZ,2022-10-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,152185,23100312
YHZ,2022-11-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,111226,23100312
YHZ,2022-12-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,121056,23100312
YHZ,2023-01-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,102638,23100312
YHZ,2023-02-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,107065,23100312
YHZ,2023-03-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,134250,23100312
YHZ,2023-04-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,143306,23100312
YHZ,2023-05-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,137735,23100312
YHZ,2023-06-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,163115,23100312
YHZ,2023-07-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,183871,23100312
YHZ,2023-08-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,199340,23100312
YHZ,2023-09-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,158884,23100312
YHZ,2023-10-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,155583,23100312
YHZ,2023-11-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,108972,23100312
YHZ,2023-12-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,119674,23100312
YHZ,2024-01-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,105210,23100312
YHZ,2024-02-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,112751,23100312
YHZ,2024-03-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,137279,23100312
YHZ,2024-04-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,147486,23100312
YHZ,2024-05-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,157666,23100312
YHZ,2024-06-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,176347,23100312
YHZ,2024-07-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,204436,23100312
YHZ,2024-08-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,239057,23100312
YHZ,2024-09-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,178513,23100312
YHZ,2024-10-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,167516,23100312
YHZ,2024-11-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,124933,23100312
YHZ,2024-12-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,133450,23100312
YHZ,2025-01-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,109205,23100312
YHZ,2025-02-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,118483,23100312
YHZ,2025-03-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,145637,23100312
YHZ,2025-04-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,154070,23100312
YHZ,2025-05-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,153730,23100312
YHZ,2025-06-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,174415,23100312
YHZ,2025-07-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,208821,23100312
YHZ,2025-08-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,232482,23100312
YHZ,2025-09-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,190632,23100312
YHZ,2025-10-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,181841,23100312
YHZ,2025-11-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,131821,23100312
YHZ,2025-12-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,141786,23100312
YVR,2020-01-01,"Vancouver International, British Columbia",total_screened_passengers,800430,23100312
YVR,2020-02-01,"Vancouver International, British Columbia",total_screened_passengers,707380,23100312
YVR,2020-03-01,"Vancouver International, British Columbia",total_screened_passengers,404264,23100312
YVR,2020-04-01,"Vancouver International, British Columbia",total_screened_passengers,27814,23100312
YVR,2020-05-01,"Vancouver International, British Columbia",total_screened_passengers,35050,23100312
YVR,2020-06-01,"Vancouver International, British Columbia",total_screened_passengers,71558,23100312
YVR,2020-07-01,"Vancouver International, British Columbia",total_screened_passengers,115251,23100312
YVR,2020-08-01,"Vancouver International, British Columbia",total_screened_passengers,156207,23100312
YVR,2020-09-01,"Vancouver International, British Columbia",total_screened_passengers,136046,23100312
YVR,2020-10-01,"Vancouver International, British Columbia",total_screened_passengers,123240,23100312
