scenario_id,spend_mechanism,effect_strength,effect_multiplier,noise_pct,replicate,model_spec,true_channel_rank,estimated_channel_rank,true_top_channel,estimated_top_channel,top_channel_recovered,top2_budget_direction_overlap,spearman_rank_corr,budget_efficiency_ratio,positive_sign_accuracy,coef_paid_search,coef_paid_social,coef_local_ooh,coef_display_video,true_roi_paid_search,true_roi_paid_social,true_roi_local_ooh,true_roi_display_video
channel_bundle_weak,channel_bundle,weak,0.500000,0.180000,31,controlled_saturation,paid_search>paid_social>local_ooh>display_video,paid_search>paid_social>display_video>local_ooh,paid_search,paid_search,1,1.000000,0.800000,0.988987,0.500000,2.091819,0.330731,-1.398997,-0.553523,0.026281,0.017109,0.014360,0.009932
channel_bundle_weak,channel_bundle,weak,0.500000,0.180000,32,naive_raw_spend,paid_search>paid_social>local_ooh>display_video,local_ooh>paid_social>paid_search>display_video,paid_search,local_ooh,0,0.500000,0.200000,0.823789,0.750000,6872.919109,31089.320333,51077.018715,-17139.298597,0.026359,0.017174,0.014502,0.009964
channel_bundle_weak,channel_bundle,weak,0.500000,0.180000,32,controlled_adstock,paid_search>paid_social>local_ooh>display_video,paid_search>local_ooh>paid_social>display_video,paid_search,paid_search,1,0.500000,0.800000,0.980144,0.500000,2551.844314,-1740.300091,1338.581739,-2050.297437,0.026359,0.017174,0.014502,0.009964
channel_bundle_weak,channel_bundle,weak,0.500000,0.180000,32,controlled_saturation,paid_search>paid_social>local_ooh>display_video,paid_search>local_ooh>display_video>paid_social,paid_search,paid_search,1,0.500000,0.400000,0.962283,0.250000,3.118092,-1.774053,-0.108325,-0.289329,0.026359,0.017174,0.014502,0.009964
channel_bundle_weak,channel_bundle,weak,0.500000,0.180000,33,naive_raw_spend,paid_search>paid_social>local_ooh>display_video,paid_social>display_video>paid_search>local_ooh,paid_search,paid_social,0,0.500000,0.000000,0.799054,0.750000,26228.613704,39097.376965,-25645.361910,30194.009509,0.026314,0.017157,0.014414,0.009965
channel_bundle_weak,channel_bundle,weak,0.500000,0.180000,33,controlled_adstock,paid_search>paid_social>local_ooh>display_video,paid_social>display_video>local_ooh>paid_search,paid_search,paid_social,0,0.500000,-0.400000,0.769522,0.500000,-670.781582,3316.407854,-33.018133,2700.640483,0.026314,0.017157,0.014414,0.009965
channel_bundle_weak,channel_bundle,weak,0.500000,0.180000,33,controlled_saturation,paid_search>paid_social>local_ooh>display_video,display_video>paid_search>local_ooh>paid_social,paid_search,display_video,0,0.500000,-0.400000,0.806889,0.750000,1.531226,-0.971305,0.287406,2.739133,0.026314,0.017157,0.014414,0.009965
channel_bundle_weak,channel_bundle,weak,0.500000,0.180000,34,naive_raw_spend,paid_search>paid_social>local_ooh>display_video,paid_search>display_video>local_ooh>paid_social,paid_search,paid_search,1,0.500000,0.200000,0.929011,0.750000,44529.909181,-1258.800071,11081.867967,11643.158127,0.026410,0.017158,0.014444,0.009989
channel_bundle_weak,channel_bundle,weak,0.500000,0.180000,34,controlled_adstock,paid_search>paid_social>local_ooh>display_video,paid_search>display_video>local_ooh>paid_social,paid_search,paid_search,1,0.500000,0.200000,0.929011,0.500000,6572.409500,-2569.403026,-463.225418,3136.037989,0.026410,0.017158,0.014444,0.009989
channel_bundle_weak,channel_bundle,weak,0.500000,0.180000,34,controlled_saturation,paid_search>paid_social>local_ooh>display_video,paid_search>local_ooh>display_video>paid_social,paid_search,paid_search,1,0.500000,0.400000,0.962098,0.500000,3.892856,-2.421218,0.379411,-2.197376,0.026410,0.017158,0.014444,0.009989
